surname,forename,initials,age_text,honours_awards,date_of_death,date_of_death2,rank,regiment,unitshipsquadron,Country,servicenumberexport,cemeterymemorial,gravereference,additionalinformation
ASHTON,ALAN,A,2,,24/12/1944,,Civilian,Civilian War Dead,,Civilian War Dead,,"OLDHAM, COUNTY BOROUGH",,of 139 Abbey Hills Road. Son of Ida Ashton. Died at 139 Abbey Hills Road.
ASHTON,ALBERT,A,,,25/08/1916,,Private,Welsh Regiment,2nd Bn.,France,'23040',THIEPVAL MEMORIAL,Pier and Face 7 A and 10 A.,
ASHTON,ALBERT EDWARD,A E,20,,28/07/1943,,Private,Australian Infantry,A.I.F. 58/59 Bn.,Papua New Guinea,'VX140445',LAE WAR CEMETERY,M. C. 15.,"Son of Albert Edward and Lavinia Mary Ashton, of Thornbury, Victoria."
ASHTON,ALBERT ERNEST,A E,32,,26/03/1919,,Driver,Royal Army Service Corps,H.T.,Tanzania,'T4/039704',DAR ES SALAAM (UPANGA ROAD) CEMETERY,XI. C. 1.,"Husband of Margaret Ashton, of 16, Churchill Terrace, Stockport Rd., Manchester."
ASHTON,ALBERT FREDERICK,A F,19,,17/11/1915,,Cabin Boy,Mercantile Marine,"""Anglia"" (Dublin)",United Kingdom,,TOWER HILL MEMORIAL,,"Son of Annie Charlotte Ashton, of 9, High Terrace, Holyhead."
ASHTON,ALBERT HENRY,A H,20,,24/03/1918,,Private,Leicestershire Regiment,2nd/4th Bn.,France,'17393',ARRAS MEMORIAL,Bay 5.,"Son of James Andrew Ashton and Alice Ashton, of 18, Brick Kiln St., Hinckley, Leicestershire."
ASHTON,ALBERT SIMS,A S,19,,02/06/1918,,Private,Durham Light Infantry,1st/8th Bn.,Germany,'80910',"NIEDERZWEHREN CEMETERY, KASSEL",II. J. 15.,"Son of Harry and Mary (nee Sims) Ashton of 11 Neale Street, Hebden Bridge, Yorkshire."
ASHTON,ALEC HARRINGTON,A H,19,,28/03/1915,,Private,Essex Regiment,6th Bn.,United Kingdom,'1988',"NORWICH CEMETERY, NORFOLK",26. 300.,"Son of Frederick Ashton and Margaret Isabel Ashton, of 39, Park Grove, Hull. Born in Essex."
ASHTON,ALEXANDER,A,38,,05/03/1918,,Private,Army Service Corps,Cadet Coy. M.T. (Lee),United Kingdom,'M/352446',PUTNEY VALE CEMETERY AND CREMATORIUM,D.4. E. 332.,"Son of Edwin Bell Ashton and Fanny Agnes Ashton; husband of Ida Ruth Ashton, of 15, Wyndham Avenue, Cliftonville, Margate."
ASHTON,ALEXANDER CHARLES,A C,,,06/12/1942,,Sergeant,Royal Air Force Volunteer Reserve,,United Kingdom,'1072896',HUYTON (ST. MICHAEL) CHURCHYARD EXTENSION,1871 Ground. Grave 959.,"Son of Richard and Janet Ashton, of Knotty Ash, Liverpool."
ASHTON,ALEXANDER LESLIE,A L,20,,01/07/1918,,Lieutenant,The Queen's (Royal West Surrey Regiment),6th Bn.,France,,HARPONVILLE COMMUNAL CEMETERY EXTENSION,F. 1.,"Son of Alexander and Lillian Mary Ashton, of Alexandria, Egypt."
ASHTON,ALFRED,A,,,09/04/1916,,Lance Corporal,South Lancashire Regiment,6th Bn.,Iraq,'11408',BASRA MEMORIAL,Panel 23.,
ASHTON,ALFRED,A,,,02/09/1918,,Private,"Australian Infantry, A.I.F.",34th Bn.,France,'4972',"HEILLY STATION CEMETERY, MERICOURT-L'ABBE",VII. B. 75.,
ASHTON,ALFRED,A,,,01/12/1914,,Corporal,Border Regiment,2nd Bn.,Belgium,'10431',PLOEGSTEERT MEMORIAL,Panel 6.,
ASHTON,ALFRED ARTHUR,A A,,,01/10/1917,,Private,York and Lancaster Regiment,8th Bn.,Belgium,'33689',TYNE COT MEMORIAL,Panel 125 to 128.,
ASHTON,ALFRED FREDERICK,A F,25,,27/05/1918,,Private,South Nottinghamshire Hussars,,Egypt,'281222',CHATBY MEMORIAL,,"Son of Arthur and N. Ashton, of 82, Cambridge St., Camberwell, London."
ASHTON,ALFRED GEORGE,A G,,,24/08/1941,,Private,Hampshire Regiment,,United Kingdom,'5511214',CATTERICK GARRISON CEMETERY,C. of E. Sec. Grave 216.,
ASHTON,ALFRED GWYN,A G,24,,01/11/1944,,Leading Stoker,Royal Navy,H.M.S. Mounsey,United Kingdom,'D/KX 121800',PLYMOUTH NAVAL MEMORIAL,"Panel 89, Column 2.","Son of William Alfred and Edith Blanche Ashton, of Deal, Kent."
ASHTON,ALFRED JAMES,A J,40,,30/08/1943,,Private,Pioneer Corps,,United Kingdom,'14231583',PLYMOUTH (WESTON MILL) CEMETERY,Sec. C. Cons. Grave 17253.,"Son of George Henry and Lily Ashton, of Devonport; husband of Violet May Ashton, of Landulph, Cornwall."
ASHTON,ALICE CATHERINE,A C,28,,06/11/1940,,Civilian,Civilian War Dead,,Civilian War Dead,,"WEMBLEY, MUNICIPAL BOROUGH",,"Wife of R. C. Ashton, of 4 Wentworth Hill. Died at 4 Wentworth Hill."
ASHTON,ALMERIC EDWARD,A E,43,,08/06/1944,,Sapper,Royal Engineers,961 (I.W.T.) Port Operating Coy.,France,'1836725',BAYEUX WAR CEMETERY,XIV. D. 15.,"Son of Edward and Fanny Ashton, of Preston, Lancashire; husband of Margaret Ashton, of Preston."
ASHTON,ANTHONY,A,23,D C M,04/02/1944,,Lance Serjeant,Irish Guards,1st Bn.,Italy,'2721511',"BEACH HEAD WAR CEMETERY, ANZIO",XVII. F. 6.,"Son of Wilfred and Jane Ashton, of Burnley, Lancashire; husband of Gladys Ashton, of Burnley."
